id;tokens;original;classe
796545902508789760;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive
796545913250545664;sign petit recount new elect chant fix;@GayWeHo @thepridela https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃  this is our chance to fix this!;positive
796545913892192256;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive
796545937862782976;sign petit recount new elect;RT @DayJojo771980: @HillaryClinton @Activist_G @HFA https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃  this is our…;positive
796545961917026304;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive
796545985061208064;sory must deal much hurt fel suck dont;Oh im so sorry you must be dealing with so much! Hurt feelings suck don't they 😔 https://t.co/HBzOJIVifE;negative
796545987493974017;cri heartbreak story unfortunatelyth stil latino famy fear;I cried with her 💔😭 such a heartbreaking story and unfortunately...this is STILL what Latino family's fear. More th… https://t.co/cYghyfRK8b;negative
796545994028564481;lmao dad saw win stat elect hes pack bag leav;RT @omgAdamSaleh: LMAOOO.. My dad saw Trump win a state in the elections and now he's packing his bags to leave 😂 https://t.co/DcHbuCoDj9;positive
796546004375867392;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive
796546029327945733;sign petit recount new elect chant fix;@rafalhill @UniteBlueCA @chrislhayes https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃  this is our chance to fix;positive
796546047795462145;found everyon vot donald rac say wow;just found out that everyone who voted for donald trump is racist and all i can say is, wow 😳;negative
796546047220875272;am peopl must demand januaryhang embasyc frej;WE the American People Must Demand It! In January.....hang on #Embassycat #Freejulian 😙 https://t.co/NkF4niq0zV;positive
796546065424117760;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546090376036353;today someon mad jok phapy*y said presid newsflashapy tha;RT @Spencer_Smith16: Today someone made a joke about my p***y and then said it was ok to do because Trump is president now 😡 newsflash: tha…;negative
796546094293536768;retail therapy rea help electionhangov know electionnight uselection2016 electionday;Retail therapy can really help that #ElectionHangover 'ya know 😉 #ElectionNight #Trump #USElection2016 #ElectionDay https://t.co/WIu66yhCWe;positive
796546118947586049;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546125033447424;yo hisp know chanel telemundo wel theyr celebr pathet;If you're hispanic and you know the channel Telemundo 😂😂 Well they're celebrating Trump won 😂 How pathetic;positive
796546149863788544;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546165181480960;retail therapy rea help electionhangov know electionnight uselection2016 electionday;Retail therapy can really help that #ElectionHangover 'ya know 😉 #ElectionNight #Trump #USElection2016 #ElectionDay https://t.co/HHWYeDoc8S;positive
796546187503554560;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546191609724932;lmao dad saw win stat elect hes pack bag leav;RT @omgAdamSaleh: LMAOOO.. My dad saw Trump win a state in the elections and now he's packing his bags to leave 😂 https://t.co/DcHbuCoDj9;positive
796546201982115840;lmao dad saw win stat elect hes pack bag leav;RT @omgAdamSaleh: LMAOOO.. My dad saw Trump win a state in the elections and now he's packing his bags to leave 😂 https://t.co/DcHbuCoDj9;positive
796546201663504384;sur non rap going presid;RT @havenrylee: Sure but none of the rappers are going to be our president 😂 https://t.co/YzjGTz8GdC;positive
796546208986787841;lik yal act lik form whit army hunt gay black peopl;Like y'all acting like trump is forming a all white army to go out and hunt down gays and black people 😂;positive
796546212371582976;honest could car les bout lik lok cut obama;honestly i could care less bout hillary and trump. like look how cut the obamas are 😩 https://t.co/ZyBUPQYM1v;negative
796546219925532672;damn near;RT @skywalking_: Damn near 😂😂😂 https://t.co/kXeYpWZSlL;positive
796546234257469441;retail therapy rea help electionhangov know electionnight uselection2016 electionday;Retail therapy can really help that #ElectionHangover 'ya know 😉 #ElectionNight #Trump #USElection2016 #ElectionDay https://t.co/xh0tCHO0mb;positive
796546237071761408;wow rac;Wow and I'm a racist.  😭 https://t.co/hQZSPCcoyo;negative
796546244265078784;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546246114578433;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive
796546247851147264;lost on lol niga mad bout tear turkey tre;RT @SheBoutHerBjs: Lost me with this one lol RT @ItzHunnieB__: How you niggas mad at Trump but bout to tear up Turkey and Christmas trees 😩;negative
796546249826664448;singl would fun wasnt brok right lol payday tomorow going every strip club toast;Being single would be fun if I wasn't broke right now lol payday tomorrow 😤 I'm going to every strip club and toasting to Donald trump;negative
796546252318146565;lov hes flam right front fac dont;I love how he's flaming them right in front of their faces and they don't see it 😂 https://t.co/fCaRJuAv7R;positive
796546258437406720;ye many black tear;@JulessssssBB yes and so many black tears because trump won 😊;positive
796546259213500417;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive
796546267212107776;cant deal internet tonight stuf mak sick;I can't deal with the internet tonight. 😩  This stuff is making me sick. https://t.co/S3fWwj04St;negative
796546273516154880;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546277206953984;victim asault trump vict shar expery suport scaveng evid stil;Victims of assault from trump's victory sharing their experiences, and his supporters go scavenging for evidences still??? 😒;negative
796546280336097280;lol also not_ screaming rap presid comp mus run cou;Lol............ also not screaming for a rapper to be the president 😂😂 how can you compare music to running the cou… https://t.co/7cdxp42IPd;positive
796546291085905920;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive
796546292117815296;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546297616617473;pro-kilary scar post-election rac viol start post-election anti-racial viol;Pro-killary was scared of post-election racial violence. Then they started post-election "anti-racial" violence 😂 https://t.co/xFMiVxjSET;positive
796546299403403264;sign petit recount new elect;@AndreaDMorgan @ezrateach @SoleCollector @newbalance https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃;positive
796546310803439616;peopl actin lik pow bring back slavery would get impeach that unconstitut;RT @ObeyyCollin: People actin like trump has the power to bring back slavery 😂 tf... He would get impeached. That's unconstitutional. And i…;positive
796546313936474112;got bring broth king;why you gotta bring brother king into it 😩 https://t.co/kcba0f3VyY;negative
796546339131822080;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546346576703488;wel pray wil increas repurchas brac knuckl cas suport tri;RT @kris_headhancho: Well my prayers will increase and I'll repurchase some brace knuckles just in case a trump supporter tries me.. 😊;positive
796546348816343040;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546361940410369;ned thorough expl;I need a thorough explanation 😳 https://t.co/9B6JlQ8wVH;negative
796546367103475712;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive
796546368961736704;sign petit recount new elect chant fix;@stylistkavin @CNNPolitics https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃  this is our chance to fix this!;positive
796546384845479936;found kind goe ear twet suport lgbtq right;@LevelCapSnowz https://t.co/0Dt1uNpMbb just found this and it kinda goes against you earlier tweet about him supporting LGBTQ right 😕;negative
796546391002771457;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546394202996741;;On the 💰 😂 https://t.co/kQAw9Sf7Xh;positive
796546429200244736;got leg wed niga gon lik gue aint bad;RT @HouseOfDrake: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😭;negative
796546454693232640;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546467427131392;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546475115286528;stamp could act;stamp you could be a actor 😂 https://t.co/MytKbejVCA;positive
796546478684729344;retail therapy rea help electionhangov know electionnight uselection2016 electionday;Retail therapy can really help that #ElectionHangover 'ya know 😉 #ElectionNight #Trump #USElection2016 #ElectionDay https://t.co/bNwKCUD6N7;positive
796546481348026368;already know dumba suport wouldv ben gun try start war shit;You already know his dumbass supporters would've been out with guns trying to start wars and shit 😴 https://t.co/MnItVPdsb0;negative
796546499014459393;releas presid let giv on lol;RT @vTakki: Early Release For Our New President ... Lets Give It Up For The One And Only Donald Trump lol 😂;positive
796546525572763650;watch many tim;I have watched this so many times. 😂 https://t.co/Ke8YxYnlt8;positive
796546542551207936;every trumpprotest anoth vot conserv 2018 2020 giv pow mag;Every #TrumpProtest is another vote for conservatives in 2018 and Trump in 2020. You are giving us more and more power! 😈 #MAGA;positive
796546543654408192;stamp could act;RT @UptownMigoo: stamp you could be a actor 😂 https://t.co/MytKbejVCA;positive
796546558762319873;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546579125637120;sign petit recount new elect chant fix;@BJHare @HeadlineZooo @MMFlint https://t.co/2spWWy32EL sign petition to do a recount and a new election 😃  this is our chance to fix this!;positive
796546580165881857;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546597949730817;back back world war champ undef sup bowl baseb world sery com;We back to back world war champs and undefeated in the super bowl and baseball World Series come at us again 😤 https://t.co/YlJZICJDcq;negative
796546600411820032;rac com got elect back cam kep ign;RT @adam_sudi26: All these racist ppl are coming out now that trump got elected. Go back to where you came from 😴 and keep your ignorant op…;negative
796546601862963200;prob los heal ins month thank gop depres unfair;@candraland1 I'll probably lose my health insurance in a few months thanks to Trump and the GOP. Depressing and unfair for us all. 😔;negative
796546603989352448;gro disturb hap camp pleas stay saf lady;this is gross and i'm so disturbed this happened on my campus please stay safe ladies 😔 https://t.co/Rupfwi7yui;negative
796546616601825281;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546623476236289;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796546629851639808;join dont want fun end;May I join? I don't want the fun to end 😆 https://t.co/CIkKsX8JyR;positive
796546710243676160;candid presid elect chos twic;@jeekachu If there are only you and Trump as candidates for president election, I'd chose Trump twice! 😊;positive
796546722960969728;yal busy complain donald sep instead stick togeth lmao;Y'all too busy complaining about donald trump and separating yourselves from each other instead of sticking through it together 😂 lmaooo;positive
796546731878051840;ug dady son;😝 "you ugly, you yo daddies son!" https://t.co/xsvtHnvG8x;positive
