id;tokens;original;classe;emojis
797267041879212032;forget man no_ chil;RT @theIeansquad: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/pGjCJWpAKs;positive;positive 
796859106367864832;lol pre scrambling today tel find damn rid payback bitc;RT @KnucklDraginSam: LoL 😂 Trump had the press scrambling all over DC today telling them to find their own damn ride...  Paybacks a bitc… ;positive;positive 
796539185842688001;let know;RT @hstylespics: Just to let you know 😊#Trump https://t.co/kzLsPZxRes;positive;positive 
796555084230488065;lok vin lop bio click twit trol yal fal;Go look at her vine loops in her bio and click on it. This is a twitter troll and y'all are falling for it. 😂 https://t.co/tH3LGd2OfD;positive;positive 
796875873920155648;thankgod tim refresh lok fac pre vic &amp;RT @nizmycuba: 😂 ThankGod 4 this time of refreshment🚿 Look at the faces with which the Pres, Vice &amp;positive;positive 
796817852749742080;lol pre scrambling today tel find damn rid payback bitc;RT @KnucklDraginSam: LoL 😂 Trump had the press scrambling all over DC today telling them to find their own damn ride...  Paybacks a bitc… ;positive;positive 
796592141346537474;ev sint anount candid anti-trumpers invary got wrong;RT @SydneyAtheist: Ever since Trump announced his candidacy, anti-Trumpers have invariably got it wrong. 😂 https://t.co/b28bMHNzSj;positive;positive 
796947176622473216;know cancel chapy;RT @HiddenTara: I know #Trump won but Jesus did they cancel @portlandia too? 😂 cc: @mundanematt https://t.co/hfvQYyjUIK;positive;positive 
796657710288601089;ind;indeed 😂 https://t.co/J5TFHZu6at;positive;positive 
796809720392744960;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796868543115567105;ye giv chant;Yess.  Just give him a chance. 😆 https://t.co/7xVfcelKeR;positive;positive 
796851870513893376;forget man no_ chil;RT @TheFunnyVines: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/ZzhbCi32cE;positive;positive 
796868969479176192;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796579127650373632;mean god know suport god intelig extrem tol peopl;RT @pharohgangordie: I mean it's just good to know that trump supporters are good intelligent and extremely tolerant people 😊 https://t.co/…;positive;positive 
796679660109172741;🆘‼️ usahapy sent campaign man stronghold democr;RT @OnlineMagazin: 🆘‼️😂🔥 USA: Donald #Trump sent his campaign manager in the stronghold of the Democrats. https://t.co/5qJbmxnEO3;positive;positive 
797227587986669570;guy actua hug suport mak lok bad;What if this guy is actually a huge Clinton supporter and did this to make trump look bad 😂 https://t.co/us7lxJagDN;positive;positive 
796677282425372672;protest acro americ hold peopl ban peopl elect moron;RT @gilesdhenry: Protestors against #Trump across America holding 'Power to the people' banners. The people just elected him morons 😂😂;positive;positive 
796593652428668929;say person cam ment acus paid mock span out;Says the person who came into my mentions accusing me of being paid and mocking me in Spanish. 😂 TF outta here. https://t.co/zMyeWM46oQ;positive;positive 
797162423434121217;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796578274012958720;win whit;And because trump win 😂u have to be white? 😂 https://t.co/jXcPIbYIwK;positive;positive 
796576019452981248;lib pleas tel suport rac on mag presidentelecttrump;RT @PDXGREG: .Liberals, please tell me more about how #Trump supporters are the racist ones. 😂#MAGA #PresidentElectTrump https://t.co/hCU3V…;positive;positive 
796863150322831360;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797125521276485633;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796569140131692544;mayb notourpresid notourameric antitrump protest rea grasrot anti-trump vot mayb not_;Maybe these #NotOurPresident, #NotOurAmerica, #AntiTrump protests really are just grassroots anti-#Trump voters. Then again, maybe not… 😉;positive;positive 
796622933909073920;forget man no_ chil;RT @RoastMeDaily: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/nX4m8Kgs5c;positive;positive 
797128937725890560;idiot kep protest hopefu wil los damn voic end term;RT @tddemott4: You idiots keep on protesting, hopefully you will lose your damn voices by then end of his term😂 #TRUMP;positive;positive 
796786182998949888;suport mean tim discrimin sev group peopl isnt suport get;RT @itsjacquerns_: No support? Oh you mean all of the times Trump has discriminated several groups of people isn't support? Get out 😂 https…;positive;positive 
796737047239213056;punk cov oldtim clas favourit hittheroadjack;Punk covers of oldtime classics are our favourite 😊🔥😄 #HitTheRoadJack #Trump  https://t.co/OFW7G3nVo1;positive;positive 
796866285581770752;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796947213150666762;lok who laugh pathet imbecil congrat auspol;Look who's laughing now @billmaher, you pathetic @CNN imbecile!😂  Congratulations @AnnCoulter!👍  https://t.co/df43NFrH1F #Trump #auspol;positive;positive 
796549262054162432;would react triumph lol;RT @CevansOfficial: This would be the reaction of Marvel and DC to the triumph of Donald Trump! 😝 #lol https://t.co/zDYzSfXvl9;positive;positive 
796877858719363072;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796577903714648064;sir sav many word say eat meat swalow saliv;RT @Mutuku__: Sir, save yourself the many words, just say "Trump eating meat, Hillary swallowing the saliva." 😂 https://t.co/OPGGYfjVVI;positive;positive 
797222818391801856;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797158417135763461;right relentl rotfl pot hes stil tak car car hat;You are right! #Trump is relentless! ROTFL😂😭😂! Even as POTUS, he's still taking care of the care the "haters"!! I L… https://t.co/zltV23Kwno;positive;positive negative 
797306091809873920;yal much;RT @brendarambitan: y'all too much 😂 https://t.co/hFbwiqnhLb;positive;positive 
796764223661543424;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796901064540876800;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796866991609024512;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796569962840227840;forget man no_ chil;RT @Solano66: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/etPUbRDKUR;positive;positive 
796827143699365888;new presid elect got yal wildin;RT @TheShadeRoom: #Trump as the new president elect got y'all wildin' 😩😂 https://t.co/GDtMTihull;positive;positive negative 
796906879360401408;new presid elect got yal wildin;RT @TheShadeRoom: #Trump as the new president elect got y'all wildin' 😩😂 https://t.co/GDtMTihull;positive;positive negative 
796798759682404354;forget man no_ chil;RT @BlackPplTweet: Forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/z4ut8i6KjG;positive;positive 
797120675861430272;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
797157960803909633;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796778432956952577;pict hapin get lik hous fir awkward no_ whiteh obam;Picture of happiness! Getting on like house on fire. Not awkward at all! Oh no! 😂😂😂 #WhiteHouse #obama #Trump https://t.co/svgcnbfMQc;positive;positive 
797264930261139456;ned laugh hil;RT @DayDaVonne_: I needed this laugh... This is hilarious 😂 https://t.co/ZlXtHtCB4v;positive;positive 
796871333271523328;she talk nonsens forget man no_ chil;RT @CloudN9neSyrup: She's talking nonsense but forget Trump and Hillary, this man Gary Johnson has no chill 😂 https://t.co/DrJB0tvJda;positive;positive 
796760260073689093;prob wasnt;Michelle probably wasn't having it. 😂 😂 😂 https://t.co/f5rzbEKWW3;positive;positive 
796885959644246016;rea fines everyon get right vot rea everyon whol tim;RT @Barzmusic906: What if Trump really finessed everyone to get the right votes  and was really  for everyone the whole time 😂 https://t.co…;positive;positive 
796863912532672512;wisconsin vot democr year day ago becam rac vot noth learn;RT @Corporatocrazy: Wisconsin voted for Democrats for 32 years. 2 days ago, they became "racist" and voted for Trump! 😅 Nothing was learned…;positive;positive 
796868904215711745;lov pewd lif also burn piñat video;I love pewds with my life... he also burned a trump piñata in this video 😂 https://t.co/YMVI5HtLlW;positive;positive 
796877673092042753;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
796912784864903168;idiot kep protest hopefu wil los damn voic end term;RT @tddemott4: You idiots keep on protesting, hopefully you will lose your damn voices by then end of his term😂 #TRUMP;positive;positive 
797087843499839489;that okay dont respond plan kep twet lik plan vot;@DubbleDhee @MyronDerrick that's okay you don't have to respond but I plan to keep tweeting. Just like we planned to vote for #Trump 😂🇺🇸☝🏾️;positive;positive 
797137000801439744;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796894411594534912;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797225771161059328;hat theyr def on sid real inform;@robinbrooke and hating on Trump? They're all def one sided 😂 real informative.;positive;positive 
796859224567508992;shit wouldv hap elect exceiv wouldv ben way wors election2016;Same shit would've happen if Hillary was elected, except it would've been way worse 😂 #TRUMP #Election2016;positive;positive 
796789224758448128;old rich got start work hour day 40k might cont shit back;RT @IAMKRIS24: Trump is old and rich and now he gotta start working 15 hours a day for 400k. He might just concede the shit back 😂;positive;positive 
796878202140577792;hilarioushapy compil democr med pundit say wil nev presid;RT @asamjulian: HILARIOUS: Compilation of democrats and media pundits saying Donald Trump will never be President. 😂… ;positive;positive 
797159347314892800;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
797159140112134144;want reach acro aisl let obam said electionnight trumpriot wewon;RT @LeahR77: For Those Who Want #Trump To Reach Across The Aisle👉 Lets See What Obama Said After He Won 😉  #ElectionNight #TrumpRiot #WEWON…;positive;positive 
796858183247462404;got leg wed niga gon lik gue aint bad;RT @AliciaGoku_: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive;positive 
796576726591664128;rememb everyon bash on candid cam everyon wan sid bye;I remember when everyone bashed about Trump being one of the candidates and when it came down to it, everyone wanna be on his side now 😂 bye;positive;positive 
