id;tokens;original;classe
796850034235101185;on many reason recr on favorit show;this is one of the many reasons why Parks and Recreation is one of my favorite shows 😊 https://t.co/CX39c7RkVR;positive
796523501293170688;helo clasy 1st hous smdh 🤔racismkarma thatsyaboy;And hello classy 1st Lady! Welcome to the White House #SMDH 🤔😏😆#racismKarma #Trump #thatsYaboy! https://t.co/q1NvFTBOrM;positive
796755874635280384;rac aint honest lik besid got 29% latino vot;@FraustoJason Hilary racist too. She just ain't honest like trump 😂 and besides that trump got 29% Latino vote.;positive
796786947519840256;cal theresamay;@SocialistVoice @guardian #Trump calling #TheresaMay 😂 https://t.co/MiXSxdQpJZ;positive
796875639043346432;folow ladieshapy black&gifted pro;Follow these ladies: Black&Gifted... And pro #Trump!!!😁😁😁😁😁 https://t.co/jt7l3e7T2v;positive
796851715106603009;lol big med tri forc fed 10% fent bia med mad;@YahooNews LOL !!!! All you Big Media tried to FORCE FEED us Clinton I was 100% on the fence YOU & all other bias media made me #Trump !!!😜;positive
796545253436248064;americ big casino search slot gam cod pushinkey opengl unity3d objc jav;America .. the big #Trump Casino.  I'm searching 4 slot game coders now!!  😆#PushinKeys #OpenGL #Unity3D #ObjC #Java;positive
796787885198299137;ned hat shirt pin tel join train;RT @cynthiaboley10: @csims2015 we need Trump hats, shirts and pins 😂 and tell them to join the Trump Train;positive
796863316996014080;awk lok thank mum;Awk look at that @RetroSnowflake a wee thank you to your mum 😉 https://t.co/Iu0H8VzRpM;positive
796884534503600128;out us cameram fak protest trumpprotest;😂😂 CNN outs themselves by using their own cameramen as fake protester. #TrumpProtests 😂 #Trump 🇺🇸 https://t.co/NpatMBffHD;positive
796816815053832192;madam tusaud rush wax model theyr us real yak hair match crown glory ble;Madame Tussauds is rushing to do the wax model of Trump and they're having to use real yak hair to match his crowning glory! 😂 Bless..;positive
796620458334547969;litle-holand throwing tantr holand;Little-Hollande throwing a tantrum 😂🤑🤑 #Hollande #Trump https://t.co/E4o49PshT9;positive
796546525572763650;watch many tim;I have watched this so many times. 😂 https://t.co/Ke8YxYnlt8;positive
796576161853804559;morn everyon hop day bet yesterday also hop chok hapy;Good morning everyone! I hope your day is better than yesterday!  😊 and also i hope trump choke :);positive
796772173650284544;obam ask trump bir cert tax return lol trumppresid;Did #Obama ask to see #Trump's birth certificate and tax returns? Lol 😁 #TrumpPresident  https://t.co/HJlc0tbtDb;positive
796869259523661826;giv read pleas;Go give us a read please 😅 https://t.co/sahYS1dB7Y;positive
796751804897734656;gon lol sik not_ try get murd peopl vot;This gonna be me @ trump of I see him 😂 lol sike I'm not trying to get murdered by the people who voted for him the… https://t.co/WD7UMvBQZT;positive
796765297180934144;whit peopl dickrid gon ned saf spac com year;all you white people and trump dickriders are gonna need some safe spaces in the coming years 😊 https://t.co/PznsAfUmmy;positive
796854259321077764;wtf isnt man next presid;Wtf why isn't this man our next president 😂😂 https://t.co/jlfTunv4KF;positive
796654963757875200;got fan tel theyr thug etc;@craigwijckaans which I do and now I've got Trump fans telling me they're thugs etc 😛;positive
797128937725890560;idiot kep protest hopefu wil los damn voic end term;RT @tddemott4: You idiots keep on protesting, hopefully you will lose your damn voices by then end of his term😂 #TRUMP;positive
796594364071825408;win prez dorm start blast purg alarm;RT @BeckySwyers: Trump wins prez and my dorm starts blasting the purge alarm 😂;positive
796783743163891712;mak rap derog bas genr mumbl rap sur dont categ;What makes all rap derogatory? Are you basing this genre off mumble rappers? 😂 sure some of it is but don't categor… https://t.co/1wLBUHEIsk;positive
796847339193376768;genuin hil peopl actua surpr treygowdyohmygowdy treygowdy atorney;It's genuinely hilarious that people are actually surprised! 😂 #trump #treygowdyohmygowdy #treygowdy #attorney… https://t.co/gKL64Dll4K;positive
796779131023171584;pak dafuq ev got photo kid;RT @ankitbhargav: #Trump is from #Pakistan dafuq .. they even got his photo as a kid 😂😂😂 https://t.co/KOJa6x65te;positive
796820399757598720;presid excit prez;Donald J. Trump is #president and I'm so excited 😆 for him to be #prez;positive
796866661970276353;wow plan rea hor rac unr;😂 RT @Zoo757: Wow trump plan is really horrible and racist, this is unreal;positive
796621425247485952;world pol handshak;World poles at handshake.. 😊 https://t.co/OPiuuvpAkQ;positive
796791505407115265;lok lik angry bird;Trump look like a angry bird 😂 https://t.co/U7dJjbLFgg;positive
797078463521968128;pocahonta sad lockherup electionnight mag draintheswamp trumpriot hilaryriot hapyveteransday fakeprotest;Awww Pocahontas is very sad ! 😂 #LockHerUp #ElectionNight #MAGA #Trump #DrainTheSwamp #TrumpRiot #HillaryRiot #HappyVeteransDay #fakeprotest;positive
796868326282510341;shitpost chief may prety much nat first mil mindset presid;Shitposter In Chief.   He may be 70 but Trump is pretty much this nation's first millenial mindset president 😊 https://t.co/7DHhsPnLd0;positive
796919087003746304;ind work mystery way am arang nowthattrumpispresid;Indeed God works in mysterious ways 😂. #Trump #americans just arranged a Nero for themselves...  #NowThatTrumpIsPresident;positive
796867393343590400;honest disapoint also lov lib celebr maj breakdown;I'll be honest, I disappointed that trump won but I'm also loving the liberal celebrities having major breakdowns because of it 😂   #Trump;positive
796924688169631744;going pen phon mag;RT @politstrip: @rtoberl @YahooNews #Trump is going to have a pen and a phone too! 😆 ☎️🖋 #MAGA;positive
796762178934054912;mehapy god morn everyon every last on shithead suportershapy mehapy;Me: good morning everyone 😊 Trump, Pence, and every last one of their shithead supporters: g- Me: https://t.co/4qSRAZqxEJ;positive
796568817682055168;got leg wed niga gon lik gue aint bad;RT @_multifrank: All Donald Trump gotta do is legalize weed and niggas gonna be like "I guess he ain't that bad" 😂;positive
796583246444171264;no_ on not_ mrtrump conserv going tak away;And no one, not Mr.Trump nor the conservatives are going to take that away from me 😊;positive
